Id,Name,Name [Scenes],Created at [Scenes]
2,皇后街,"西門町智慧城市@皇后街(6號出口),西門聖誕節🎄@皇后街,智慧城市demo","2021年02月05日 09:58,2021年11月16日 05:06,2022年03月14日 22:59"
3,西岸街,"西門町智慧城市@西岸街(峨眉▶中華路),西門聖誕節🎄@西岸街","2021年01月04日 17:08,2021年11月26日 17:32"
4,東岸街,"西門町智慧城市@東岸街(峨眉▶西寧南路),西門聖誕節🎄@東岸街","2021年01月04日 17:08,2021年11月26日 17:32"
5,中央廣場_後半,"西門町智慧城市@中央廣場後段(漢中▶武昌),西門聖誕節🎄@中央廣場後段","2021年02月05日 09:49,2021年11月30日 14:47"
6,傑克遜街,"西門町智慧城市@傑克遜街(武昌▶中華),西門聖誕節🎄@傑克遜街","2021年01月04日 17:08,2021年11月26日 17:34"
7,百老匯街,"西門町智慧城市@百老匯街(武昌▶西寧南),西門聖誕節🎄@百老匯街","2021年01月04日 17:08,2021年11月26日 17:35"
8,哈林街,"西門町智慧城市@哈林街(漢中▶漢口),西門大嘻哈@哈林街(漢中▶漢口)","2021年01月14日 16:06,2021年08月11日 04:48"
9,力暘花蓮辦公室,力暘花蓮辦公室,2021年01月18日 13:21
10,吉米區,西門街頭主場@西門靖,2020年12月30日 17:09
11,中央廣場_前半,"西門町智慧城市@中央廣場前(漢中▶峨眉),西門聖誕節🎄@中央廣場前段,諸葛四郎_uniqlo","2021年02月05日 09:52,2021年11月30日 14:47,2021年12月20日 17:32"
32,光時代辦公室測試用366,"誠品站前店_萬聖節,禮納里旅客服務中心-室外,禮納里旅客服務中心-室內,新威旅客中心-2F,新威旅客中心,新威旅客中心-1F,testttt,智慧城市展_showroom,kill zombie,打殭屍測試,燈籠解謎測試,測試－儀表板ＭＯＤＥＬ,oooo,player sdk test game,steven會議室Demo,智慧城市高雄展,demo場景,銘傳AR海底遊樂園1F,銘傳AR海底遊樂園4F,RC_Test_動畫特效,plain-測試儀表板,[UniAR]紅包雨測試,動作-設定網址","2022年10月07日 10:35,2023年02月20日 15:51,2023年02月20日 16:33,2023年02月20日 15:13,2023年02月20日 15:08,2023年02月20日 15:12,2023年03月15日 17:51,2023年03月17日 11:38,2023年02月01日 17:16,2023年03月24日 16:14,2023年03月25日 13:58,2023年02月07日 14:29,2023年04月11日 10:30,2023年04月12日 11:09,2023年04月17日 17:50,2023年03月29日 07:12,2023年05月10日 17:08,2023年05月24日 17:22,2023年05月25日 10:56,2022年11月30日 14:50,2023年06月01日 15:01,2023年06月28日 12:07,2021年08月18日 16:41"
36,公版測試凱棋,凱棋場景之貓貓暴走,2021年01月27日 09:49
37,Holopark Scene,HoloParkScene,2021年08月14日 14:04
39,HoloPark室內區,Holopark室內區,2021年06月01日 11:48
40,智慧燈桿-重慶路館前東路南側,智慧燈桿-重慶路管前東路南側-181,2021年09月02日 20:47
41,智慧燈桿-重慶路館前東路北側,智慧燈桿-重慶路管前東路北側-666,2021年09月02日 21:01
43,智慧燈桿-重慶路中山路一段北側,智慧燈桿-重慶路中山路一段北側-322,2021年09月02日 21:07
44,智慧燈桿-重慶路中山路一段南側,智慧燈桿-重慶路中山路一段南側-297,2021年09月02日 21:10
46,金獅樓街,"西門光宇宙@金獅樓(武昌▶昆明),西門聖誕節🎄@金獅樓街","2021年11月05日 17:57,2021年11月29日 14:15"
47,電影街_後半段,"西門大嘻哈@電影街後段(武昌▶康定),	後街塔酷祭@電影街後段,西門光宇宙@電影街後段(武昌▶康定)","2021年10月11日 16:00,2021年10月30日 08:04,2021年11月10日 17:59"
48,電影街_前半段," 西門光宇宙@電影街前段(武昌▶康定),,西門聖誕節🎄@電影街,諸葛四郎_電影街前段","2021年11月09日 17:30,2021年11月26日 17:35,2021年12月20日 14:24"
50,內湖區康寧國小,康寧國小校門口,2021年09月17日 00:32
51,西門國小,新西門國小校門口,2021年09月30日 14:53
53,高雄亞灣新創園,亞灣新創園,2021年09月30日 17:39
55,世界蘭展延伸推廣特展,"",""
56,demo-hy,demo-hy,2021年06月13日 12:36
57,西門紅樓萬聖節,西門町萬聖節@紅樓,2021年10月15日 10:27
59,Hank 辦公室 538,粽邪第一區第一關解謎,2023年05月18日 14:14
63,緯雄家,超感空間安西府3D財虎迎虎年TEST,2022年01月14日 15:33
64,mike demo,"亞灣新創園,	後街塔酷祭@電影街後段,西門町萬聖節@中央廣場後(漢中▶武昌),西門大嘻哈@電影街前段(武昌▶康定),西門大嘻哈@皇后街(6號出口)","2021年09月30日 17:39,2021年10月30日 08:04,2021年10月20日 15:25,2021年09月23日 06:48,2021年08月11日 05:01"
65,新西門圓環,"",""
70,實驗,"",""
