id,token_simp,Platform,Created_at
1,fHrf1HS0IEhJq1eB4Buj0m,IOS,2022-12-15 15:37
3,dM715_YnNkREpTO35xXyHe,IOS,2022-12-15 15:38
4,esSM9vJ0kUI4lw3duZe1Ji,IOS,2022-12-15 15:39
5,e8NpP0osu0Mxkj3WHh2ylb,IOS,2022-12-15 15:41
7,eaPl1VqxtEz9qm0iMs1iq7,IOS,2022-12-15 15:41
10,dVptin7yw0r0pWzHk9uMCr,IOS,2022-12-15 15:43
13,dkOJLMZmakNDljuy4LnQmI,IOS,2022-12-15 15:46
14,dEeSOAfDkkHtqrbkEEQ1KT,IOS,2022-12-15 15:47
16,box1234,IOS,2022-12-15 15:50
17,dOcnbj8UYU2Nk_JzZk8HEc,IOS,2022-12-15 15:55
19,f9MgpJmmtkKcs2aEmlGSbM,IOS,2022-12-15 16:08
20,fzuGDr6H10jWjcjYepb1bG,IOS,2022-12-15 16:36
22,eYRIWVz0OEXKjCaSMxpnci,IOS,2022-12-15 16:43
24,fJHBmQNDIUFtjp1aIryq6E,IOS,2022-12-15 17:04
25,cjj_8Q2dTIW8JtubTHWJgJ,ANDROID,2022-12-15 17:51
26,dhT2g-qFYkPcq9kiMQfBWP,IOS,2022-12-15 18:28
29,fhYz3YqUQrG_WJKOgj80_3,ANDROID,2022-12-15 18:45
30,fTWVKedpSbacg127Bu0VC7,ANDROID,2022-12-15 19:02
31,dk-zU_xVSoW95vXHk1aCXF,ANDROID,2022-12-15 19:10
32,cpolmnNYSxy9uKvt4MstNt,ANDROID,2022-12-15 19:10
34,fT5FFbTV1E6fvbvHHVWU_v,IOS,2022-12-16 10:51
35,doqkd-1G7ETeu5uon1ouiz,IOS,2022-12-16 10:55
36,eeSwBwqTR8iKpeV-ykMTQx,ANDROID,2022-12-16 10:55
37,cQs4ksDq_0m7ux8D8tjFg7,IOS,2022-12-16 10:56
38,fHrDBG7xSBmXaKC_gxl5xe,ANDROID,2022-12-16 11:14
39,dq_1-96X0UzAhAsXOF1F9J,IOS,2022-12-16 11:45
40,eTZxTalySUupR9ES55xzhi,ANDROID,2022-12-16 11:56
41,eVadSIgqSIiq0TKvMIXe7T,ANDROID,2022-12-16 12:03
42,eo-D9XJ_SVq2qncF98Moww,ANDROID,2022-12-16 12:09
43,foobNYXtSzqfdLyxKPhdeD,ANDROID,2022-12-16 13:01
44,e2VOjcZ1mkrWnvFUZgQRSc,IOS,2022-12-16 13:04
45,cu1uBFpSw0jIlj08fXXFR7,IOS,2022-12-16 13:04
46,fJRrAgHCCUKQpBpkPsF8iq,IOS,2022-12-16 13:09
47,dugqDErrTvSrhE3AtbiKUD,ANDROID,2022-12-16 13:11
48,dTQmk1l5S0qDyEZ_1xhATO,ANDROID,2022-12-16 13:49
49,fB4_8GebQ4S5dze9D3Y3cI,ANDROID,2022-12-16 13:52
50,e0IxWcSfIUuIgWgpeOyn4R,IOS,2022-12-16 14:06
52,f5vDoVTiRqWYRTscktuGRa,ANDROID,2022-12-16 14:08
53,ehKQuFLDekgooAkGd5ziAP,IOS,2022-12-16 14:16
54,eWGPqex8TPWR0E2XkJIUrn,ANDROID,2022-12-16 14:18
55,d4iDzv4TQZmrXshESpqaaS,ANDROID,2022-12-16 14:29
56,dpxgtFMgd0V5s4oajHw0OJ,IOS,2022-12-16 14:32
57,dJ-aNjc6iUcWl_2mtsAeCo,IOS,2022-12-16 14:34
58,dPsC01nFQiu2MAQcUs5lCP,ANDROID,2022-12-16 14:41
59,dPZklRXk4kZVnwyxRJtV99,IOS,2022-12-16 15:04
60,eGHvaYZXV0ODh_d2BUr49u,IOS,2022-12-16 15:04
61,fGxMpzt8Sdy1E8YvXrZC4_,ANDROID,2022-12-16 15:05
62,fTFqvIGsokk2ieOkIk3paf,IOS,2022-12-16 15:07
63,cIuX5rQJ9EyxopyjBSgTrj,IOS,2022-12-16 15:33
65,fU8T1iYUTURyh0LHVWyqwC,IOS,2022-12-16 15:45
66,eeoFYl9BXkrupuJQ1EFVAc,IOS,2022-12-16 15:48
67,dtD5wp9ATE18otvU-El9So,IOS,2022-12-16 15:55
70,cCNszGTUCkBjp3UTE-yxeC,IOS,2022-12-16 17:04
73,e8fb1ORGHU7ImgeBHdG1Ac,IOS,2022-12-16 17:05
75,eiS675d1nEA4oAUKK0ODzO,IOS,2022-12-16 17:55
77,dT-veE4V2UF-seFTIj5kkS,IOS,2022-12-16 18:32
79,cz8wDOA-zk-ZoQTPTbEpCR,IOS,2022-12-16 18:38
81,fyQmyjUGh0ynhxpu6lwp5R,IOS,2022-12-16 18:47
83,fBj3nw8C4UW0go2gZSuq1Y,IOS,2022-12-18 12:56
84,fYSylznGiU0vl3ZYGVcwBZ,IOS,2022-12-18 14:40
86,dz6zZ6kCREVokwajiEcE84,IOS,2022-12-19 11:09
87,dMRzTJULRIiKdFeZigSwdc,ANDROID,2022-12-19 14:15
88,cqBgbT2bSWW_w_o-PfqfLp,ANDROID,2022-12-19 14:24
89,cVGrvxxkkkLigOBbmIUbco,IOS,2022-12-19 14:28
90,ekEztlLBTLu4cGE5-YhkYa,ANDROID,2022-12-19 15:00
91,fJUEVwOlQCCVqE1Tsa701D,ANDROID,2022-12-19 15:06
92,cPqqCm4RQ42M8qxLx5TA8Q,ANDROID,2022-12-19 15:09
93,fhXTkIrRCkjngH7wbFGETm,IOS,2022-12-19 15:10
94,drlEPflXS4yctLEj3tU_Hz,ANDROID,2022-12-19 15:12
95,e13MRn80TaubW5rR0sTxfV,ANDROID,2022-12-19 15:22
96,dcCh1SVzS3aABr-02iJEZP,ANDROID,2022-12-19 15:26
97,eADnpG9iR4m1QiYupGxKGE,ANDROID,2022-12-19 15:35
98,fJaEiRYuSfi8vPzaLnJJwq,ANDROID,2022-12-19 15:36
99,elbAVHUV-U63ptS65Jo819,IOS,2022-12-19 15:46
101,eUk0SSTs9kTgj1O5q8-QTZ,IOS,2022-12-19 16:38
103,fM5YA2uqSx-Lk9O9WDYs9A,ANDROID,2022-12-19 16:54
104,cQSvIMGEQp6jc_WtAWNwkq,ANDROID,2022-12-19 17:11
105,dYzZ32ICyktruOm8U1NGJz,IOS,2022-12-19 17:23
106,dM7KxDXZqUUDs6PL15LjUr,IOS,2022-12-19 17:26
108,cBRFunCwVEKvskJlgb2zHn,IOS,2022-12-19 17:27
110,eQ2RI11NikO4jhdXJqC8XU,IOS,2022-12-19 17:47
111,cMkvyvZr1ExtmO43y1ivlS,IOS,2022-12-20 10:27
112,erL6A6O-bUgPkrR0YuX3xn,IOS,2022-12-20 11:32
113,eNuMbhmkRm2Ak8EhhIG7qK,ANDROID,2022-12-20 11:36
114,f0IXT-8ORLespHCwkjl89c,ANDROID,2022-12-20 11:42
115,dxIGfjGgQDmfmaFX2I1-Vl,ANDROID,2022-12-20 11:51
116,fiBZfdDkT-uVNNZ1hvIBc7,ANDROID,2022-12-20 14:02
