Id,Location,Name
69,"---
x: '0'
""y"": '2039'
z: '5532'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.5846852994181004'
",-
81,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-81 (?)未找到
82,"---
x: 10.0
""y"": 40.0
z: 100.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-82(?) 未找到
106,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-106-華電
108,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-108
112,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-112
119,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",公司測試貓 綠色外殼
121,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-121
123,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-123
124,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-124-華電
127,"---
x: '16.8'
""y"": '0.0'
z: ""-4.4""
rotate_x: '0.0'
rotate_y: '86.0'
rotate_z: '0.0'
",L-127
129,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-129-holopark劇場入口
131,"---
x: '0.0'
""y"": '0.0'
z: '4.0'
rotate_x: '0.0'
rotate_y: '180.0'
rotate_z: '0.0'
",L-131(藍燈故障)
134,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",虛擬測試用
137,"---
x: '2.3'
""y"": '0.0'
z: '50.98'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",e11-(外)-已換下
141,"---
x: ""-48.04""
""y"": '0.0'
z: '38.7'
rotate_x: '0.0'
rotate_y: '130.5'
rotate_z: '0.0'
",L-141-h41-(內)
144,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-144
146,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-146-久大
151,"---
x: '94.0'
""y"": '0.0'
z: '7.9'
rotate_x: '0.0'
rotate_y: '85.0'
rotate_z: '0.0'
",L151-e21-(外)
153,"---
x: 9.0
""y"": 0.0
z: 0.4
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-153
160,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-160
163,"---
x: 0
""y"": 0
z: 0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-163
164,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '90.0'
rotate_z: '0.0'
",L-164-高醫大
165,"---
x: ""-1.7""
""y"": '0.0'
z: ""-74.5""
rotate_x: '0.0'
rotate_y: ""-4.0""
rotate_z: '0.0'
",L-165-h26-(外)
166,"---
x: '120.26'
""y"": '0.0'
z: '35.94'
rotate_x: '0.0'
rotate_y: ""-3.0""
rotate_z: '0.0'
",L166-w40-(內)
167,"---
x: -2.4
""y"": 0.0
z: 68.02
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-167
168,"---
x: ""-0.74""
""y"": '0.0'
z: ""-83.99""
rotate_x: '0.0'
rotate_y: '175.0'
rotate_z: '0.0'
",L168-E36-(外)
170,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-170-高雄亞灣新創-入口
171,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-171-holopark入口
173,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-173
175,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-175
176,"---
x: -6.01
""y"": 0.0
z: 7.08
rotate_x: 0.0
rotate_y: 4.17
rotate_z: 0.0
",L-176
178,"---
x: 94.0
""y"": 0.0
z: 7.9
rotate_x: 0.0
rotate_y: 266.0
rotate_z: 0.0
",L-178
179,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-179
180,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-180
181,"---
x: ""-17.7""
""y"": '0.0'
z: '1.2'
rotate_x: '0.0'
rotate_y: '90.0'
rotate_z: '0.0'
",L-181-華電新北智慧燈桿-重慶路館前東路南側-損壞
187,"---
x: '147.1'
""y"": '0.0'
z: '13.3'
rotate_x: '0.0'
rotate_y: '264.5'
rotate_z: '0.0'
",L187
188,"---
x: '16.8'
""y"": '0.0'
z: ""-4.4""
rotate_x: '0.0'
rotate_y: '267.0'
rotate_z: '0.0'
",L188-h26-(外)(不亮)
190,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-190-高雄亞灣新創-休息區
194,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-194-華電
199,"---
x: '117.74'
""y"": '0.0'
z: '71.44'
rotate_x: '0.0'
rotate_y: '178.0'
rotate_z: '0.0'
",L199
202,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-202-華電
204,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-204-碁康電腦
207,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-207-運營部
209,"---
x: '133.75'
""y"": '0.0'
z: ""-47.19""
rotate_x: '0.0'
rotate_y: '176.0'
rotate_z: '0.0'
",L209-w21-(外)
214,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-214
215,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-215
216,"---
x: 126.27
""y"": 0.0
z: -32.0
rotate_x: 0.0
rotate_y: -4.0
rotate_z: 0.0
",L-216
219,"---
x: '127.3'
""y"": '0.0'
z: '22.2'
rotate_x: '0.0'
rotate_y: '178.0'
rotate_z: '0.0'
",L219-w13-(內)
223,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-223
228,"---
x: ""-21.22""
""y"": ""-0.25""
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-228
229,"---
x: '12.1'
""y"": '0.0'
z: '0.0'
rotate_x: '1.23'
rotate_y: '0'
rotate_z: '0'
",L-229
230,"---
x: '2.3'
""y"": '0.0'
z: '50.98'
rotate_x: '0.0'
rotate_y: '179.0'
rotate_z: '0.0'
",L230-e11-(內)
237,"---
x: ""-18.6""
""y"": '0.0'
z: '14.0'
rotate_x: '0.0'
rotate_y: '127.5'
rotate_z: '0.0'
",L-237-h33-(內)
239,"---
x: '103.6'
""y"": '0.0'
z: '1.49'
rotate_x: '0.0'
rotate_y: '261.0'
rotate_z: '0.0'
",L239
241,"---
x: 12.4
""y"": 0.0
z: 5.3
rotate_x: 0.0
rotate_y: 180.0
rotate_z: 0.0
",L-241
244,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-244
245,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-245-holopark右側
250,"---
x: '76.34'
""y"": '0.0'
z: ""-1.49""
rotate_x: '0.0'
rotate_y: '88.0'
rotate_z: '0.0'
",L-250
254,"---
x: 24.84
""y"": -0.4
z: 3.03
rotate_x: -3.0
rotate_y: 87.0
rotate_z: 0.0
",L-254
259,"---
x: ""-3.4""
""y"": '0.0'
z: ""-38.75""
rotate_x: '0.0'
rotate_y: ""-4.0""
rotate_z: '0.0'
",L259-e30-(內)
263,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-263
264,"---
x: '129.0'
""y"": '0.0'
z: ""-8.5""
rotate_x: '0.0'
rotate_y: ""-1.5""
rotate_z: '0.0'
",L264-w15-(內)
266,"---
x: '34.03'
""y"": '0.0'
z: '3.9'
rotate_x: '0.0'
rotate_y: '266.0'
rotate_z: '0.0'
",L266-w38-(內）
268,"---
x: '37.3'
""y"": '0.0'
z: '1.2'
rotate_x: '0.0'
rotate_y: '90.0'
rotate_z: '0.0'
",L-268-高醫大
269,"---
x: '136.68'
""y"": '0.0'
z: ""-71.04""
rotate_x: '0.0'
rotate_y: '170.0'
rotate_z: '0.0'
",L269-w25-(外)
270,"---
x: 128.95
""y"": 0.0
z: -59.91
rotate_x: 0.0
rotate_y: 176.0
rotate_z: 0.0
",L-270
273,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-273-holopark室內
274,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-274
275,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-275
280,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-280-holopark原點
284,"---
x: '129.0'
""y"": '0.0'
z: ""-8.5""
rotate_x: '0.0'
rotate_y: '174.0'
rotate_z: '0.0'
",L284-w15-(外)
287,"---
x: '122.17'
""y"": '0.0'
z: '95.52'
rotate_x: '0.0'
rotate_y: ""-6.0""
rotate_z: '0.0'
",L287-w01-(外)
291,"---
x: '103.6'
""y"": '0.0'
z: '1.49'
rotate_x: '0.0'
rotate_y: '87.0'
rotate_z: '0.0'
",L-291
297,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-297-華電智慧燈桿-重慶路中山路一段南側
298,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-298
299,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-299
300,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-300-華電
301,"---
x: '125.46'
""y"": '0.0'
z: '48.52'
rotate_x: '0.0'
rotate_y: '178.0'
rotate_z: '0.0'
",L301-w09-(內)
303,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-303
308,"---
x: '147.1'
""y"": '0.0'
z: '13.3'
rotate_x: '0.0'
rotate_y: '84.0'
rotate_z: '0.0'
",L308-H11-(外)
309,"---
x: 9.5
""y"": 0.0
z: 9.2
rotate_x: 0.0
rotate_y: -134.0
rotate_z: 0.0
",L-309
310,"---
x: ""-33.12""
""y"": '0.0'
z: '26.18'
rotate_x: '0.0'
rotate_y: '310.5'
rotate_z: '0.0'
",L310-w28-(外)
311,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L311-w28-(內)
312,"---
x: '184.09'
""y"": '0.0'
z: '16.54'
rotate_x: '0.0'
rotate_y: '268.0'
rotate_z: '0.0'
",L312
320,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-320
322,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-322-華電智慧燈桿-重慶路中山路一段北側
324,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-324
325,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-325
327,"---
x: '122.17'
""y"": '0.0'
z: '95.52'
rotate_x: '0.0'
rotate_y: '175.0'
rotate_z: '0.0'
",L327-w01-(內)
330,"---
x: '76.34'
""y"": '0.0'
z: ""-1.49""
rotate_x: '0.0'
rotate_y: '268.0'
rotate_z: '0.0'
",L-330
334,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-334
335,"---
x: ""-2.4""
""y"": '0.0'
z: '34.31'
rotate_x: '0.0'
rotate_y: ""-1.0""
rotate_z: '0.0'
",L335-w68-(內)
338,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-338
339,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-339
343,"---
x: '0.0'
""y"": '0.0'
z: '22.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-343 待處理-大稻埕
344,"---
x: '1.8'
""y"": '0.0'
z: ""-21.8""
rotate_x: '0.0'
rotate_y: ""-4.5""
rotate_z: '0.0'
",L344-e21-(內)
345,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-345
348,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-348-華電聯網
349,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-349
355,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L-355
356,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-356-華電
357,"---
x: '2.3'
""y"": '0.0'
z: '85.35'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L357-e03-(外)-故障
358,"---
x: '14.77'
""y"": '0.0'
z: ""-3.4""
rotate_x: '0.0'
rotate_y: ""-90.0""
rotate_z: '0.0'
",L-358-高醫大
364,"---
x: '2.3'
""y"": '0.0'
z: '85.35'
rotate_x: '0.0'
rotate_y: '180.0'
rotate_z: '0.0'
",L364-e03-(內)
366,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L366-光時代辦公室
368,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",測試新造型套版
371,"---
x: ""-18.6""
""y"": '0.0'
z: '14.0'
rotate_x: '0.0'
rotate_y: '310.0'
rotate_z: '0.0'
",L371-h33-(外)
372,"---
x: '3.68'
""y"": '0.0'
z: '4.35'
rotate_x: '0.0'
rotate_y: '180.0'
rotate_z: '0.0'
",L-372-清水-獨尊
375,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-375-西門國小門口
377,"---
x: ""-2.4""
""y"": '0.0'
z: '68.02'
rotate_x: '0.0'
rotate_y: '179.0'
rotate_z: '0.0'
",L377-e08-(內)
378,"---
x: '34.03'
""y"": '0.0'
z: '3.9'
rotate_x: '0.0'
rotate_y: '86.0'
rotate_z: '0.0'
",L378-w38-(外）
380,"---
x: '0'
""y"": '0'
z: '0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
",L-380
386,"---
x: '52.04'
""y"": '0.0'
z: '5.9'
rotate_x: '0.0'
rotate_y: '87.0'
rotate_z: '0.0'
",L386-h23-(外)
387,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
",L387(y)
